"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"L3_DR1","SDR0805","3090mil","3160mil","3090mil","3160mil","3090mil","3264.331mil","B","360.00","100uH"
"D1_DR2","FSV330AF/FSV340AF","994.685mil","2815mil","914.37mil","2815mil","914.37mil","2815mil","B","360.00","1N5821"
"D1_DR1","FSV330AF/FSV340AF","3330mil","2839.685mil","3330mil","2920mil","3330mil","2920mil","B","270.00","1N5821"
"C40_DR2","6032_[2312]","960mil","2574.449mil","960mil","2483.898mil","960mil","2483.898mil","B","90.00","100uF/16V"
"C40_DR1","6032_[2312]","3065mil","2445.551mil","3065mil","2355mil","3065mil","2355mil","B","90.00","100uF/16V"
"R51_DR2","1608[0603]","2696.346mil","1350mil","2696.346mil","1350mil","2696.346mil","1322.441mil","B","90.00","220K"
"C31","UUG_Series_Cap","1945mil","3324.76mil","1945mil","3555mil","1945mil","3094.37mil","T","0.00","1000uF/16V"
"C28","UUG_Series_Cap","1200mil","3324.76mil","1200mil","3555mil","1200mil","3094.37mil","T","360.00","1000uF/16V"
"C1","1608[0603]","2465mil","2242.441mil","2465mil","2242.441mil","2465mil","2214.882mil","T","90.00","18pF"
"C2","1608[0603]_-_Polar","3495mil","2496.535mil","3495mil","2530mil","3495mil","2530mil","T","270.00","2.2uF"
"C3","1608[0603]","2465mil","2117.441mil","2465mil","2117.441mil","2465mil","2145mil","T","270.00","18pF"
"C4","1608[0603]_-_Polar","3606.535mil","1747.441mil","3640mil","1747.441mil","3640mil","1747.441mil","T","180.00","2.2uF"
"C5","1608[0603]","2620mil","1807.441mil","2620mil","1807.441mil","2620mil","1779.882mil","T","90.00","100nF"
"C6","1608[0603]_-_Polar","2061.535mil","2540mil","2028.071mil","2540mil","2028.071mil","2540mil","T","360.00","2.2uF"
"C7","1608[0603]_-_Polar","2708.465mil","1990mil","2675mil","1990mil","2675mil","1990mil","T","360.00","2.2uF"
"C8","1608[0603]","2670mil","1817.441mil","2670mil","1817.441mil","2670mil","1789.882mil","T","90.00","100nF"
"C9","1608[0603]","1805mil","1680mil","1805mil","1680mil","1805mil","1652.441mil","T","90.00","100nF"
"C10","1608[0603]","1272.441mil","2055mil","1272.441mil","2055mil","1300mil","2055mil","T","180.00","100nF"
"C11","1608[0603]","2905mil","2420mil","2905mil","2420mil","2932.559mil","2420mil","T","180.00","100nF"
"C12","1608[0603]","2710mil","2412.441mil","2710mil","2412.441mil","2710mil","2384.882mil","T","90.00","15pF"
"C13","1608[0603]","2580mil","2350mil","2580mil","2350mil","2607.559mil","2350mil","T","180.00","15pF"
"C14","1608[0603]","3605mil","2072.559mil","3605mil","2072.559mil","3632.559mil","2072.559mil","T","180.00","4.7nF"
"C15","1608[0603]","3605mil","2015mil","3605mil","2015mil","3632.559mil","2015mil","T","180.00","4.7nF"
"C16","1608[0603]","3605mil","1967.441mil","3605mil","1967.441mil","3632.559mil","1967.441mil","T","180.00","4.7nF"
"C17","1608[0603]","4290mil","2432.441mil","4290mil","2432.441mil","4290mil","2404.882mil","T","90.00","4.7nF"
"C18","6032_[2312]","2529.449mil","3575mil","2620mil","3575mil","2620mil","3575mil","T","180.00","10uF/35V"
"C19","6032_[2312]","4369.449mil","2205mil","4460mil","2205mil","4460mil","2205mil","T","180.00","150uF"
"C20","1608[0603]","1940mil","2895mil","1940mil","2895mil","1940mil","2867.441mil","T","90.00","100nF"
"C21","1608[0603]","2735mil","1520mil","2735mil","1520mil","2707.441mil","1520mil","T","360.00","100nF"
"C22","1608[0603]","4540mil","2075mil","4540mil","2075mil","4540mil","2047.441mil","T","90.00","100nF"
"C23","6032_[2312]","2805.551mil","3575mil","2715mil","3575mil","2715mil","3575mil","T","360.00","100uF"
"C24","6032_[2312]","3070mil","3250.551mil","3070mil","3160mil","3070mil","3160mil","T","90.00","330uF"
"C25_DR1","1608[0603]_-_Polar","3568.465mil","1325mil","3535mil","1325mil","3535mil","1325mil","T","360.00","2.2uF"
"C25_DR2","1608[0603]_-_Polar","2221.535mil","1405mil","2255mil","1405mil","2255mil","1405mil","T","180.00","2.2uF"
"C26_DR1","1608[0603]","3350mil","1420mil","3350mil","1420mil","3322.441mil","1420mil","B","360.00","100pF"
"C26_DR2","1608[0603]","2465mil","1275mil","2465mil","1275mil","2437.441mil","1275mil","B","360.00","100pF"
"C27_DR1","6032_[2312]","3139.449mil","1350mil","3230mil","1350mil","3230mil","1350mil","B","180.00","150uF/6.3V"
"C27_DR2","6032_[2312]","1170.551mil","2675mil","1080mil","2675mil","1080mil","2675mil","B","360.00","150uF/6.3V"
"C29_DR1","1608[0603]","3350mil","1475mil","3350mil","1475mil","3322.441mil","1475mil","B","360.00","1nF"
"C29_DR2","1608[0603]","2912.559mil","1336.102mil","2912.559mil","1336.102mil","2912.559mil","1363.661mil","B","270.00","1nF"
"C30_DR1","1608[0603]_-_Polar","3935mil","1325.906mil","3935mil","1292.441mil","3935mil","1292.441mil","B","90.00","2.2uF"
"C30_DR2","1608[0603]_-_Polar","1893.465mil","1380mil","1860mil","1380mil","1860mil","1380mil","B","360.00","2.2uF"
"C32_DR1","1608[0603]","3550mil","1455mil","3550mil","1455mil","3522.441mil","1455mil","T","360.00","10nF"
"C32_DR2","1608[0603]","2170mil","1325mil","2170mil","1325mil","2170mil","1297.441mil","T","90.00","10nF"
"C33_DR1","1608[0603]","4200mil","1315mil","4200mil","1315mil","4200mil","1287.441mil","T","90.00","6.8nF"
"C33_DR2","1608[0603]","2625mil","1290mil","2625mil","1290mil","2652.559mil","1290mil","T","180.00","6.8nF"
"C34_DR1","1608[0603]_-_Polar","4130mil","1363.465mil","4130mil","1330mil","4130mil","1330mil","B","90.00","2.2uF"
"C34_DR2","1608[0603]_-_Polar","2095mil","1358.465mil","2095mil","1325mil","2095mil","1325mil","B","90.00","2.2uF"
"C35_DR1","1608[0603]","3550mil","1390mil","3550mil","1390mil","3577.559mil","1390mil","T","180.00","100nF"
"C35_DR2","1608[0603]","2227.5mil","1325mil","2227.5mil","1325mil","2227.5mil","1352.559mil","T","270.00","100nF"
"C36_DR1","1608[0603]","4365mil","1295mil","4365mil","1295mil","4392.559mil","1295mil","B","180.00","120pF"
"C36_DR2","1608[0603]","2569.216mil","1350mil","2569.216mil","1350mil","2569.216mil","1322.441mil","B","90.00","120pF"
"C38_DR1","1608[0603]","4045mil","1385mil","4045mil","1385mil","4017.441mil","1385mil","B","360.00","22nF"
"C38_DR2","1608[0603]","2010mil","1370mil","2010mil","1370mil","1982.441mil","1370mil","B","360.00","22nF"
"C39_DR1","1608[0603]_-_Polar","3810mil","1323.465mil","3810mil","1290mil","3810mil","1290mil","B","90.00","2.2uF"
"C39_DR2","1608[0603]_-_Polar","1750mil","1353.465mil","1750mil","1320mil","1750mil","1320mil","B","90.00","2.2uF"
"C41_DR1","1608[0603]","3335mil","1565mil","3335mil","1565mil","3362.559mil","1565mil","B","180.00","100pF"
"C41_DR2","1608[0603]","1730mil","1505mil","1730mil","1505mil","1730mil","1532.559mil","B","270.00","100pF"
"C42_DR1","1608[0603]","3350mil","1365mil","3350mil","1365mil","3377.559mil","1365mil","B","180.00","1nF"
"C42_DR2","1608[0603]","2935mil","1440mil","2935mil","1440mil","2935mil","1412.441mil","B","90.00","1nF"
"C43_DR1","1608[0603]","4465mil","1825mil","4465mil","1825mil","4465mil","1797.441mil","B","90.00","15nF"
"C43_DR2","1608[0603]","2475mil","1820mil","2475mil","1820mil","2475mil","1792.441mil","B","90.00","15nF"
"C44_DR1","1608[0603]","4345mil","1950mil","4345mil","1950mil","4345mil","1977.559mil","B","270.00","100nF"
"C44_DR2","1608[0603]","2295mil","1930mil","2295mil","1930mil","2295mil","1957.559mil","B","270.00","100nF"
"C45_DR1","1608[0603]","3350mil","1310mil","3350mil","1310mil","3377.559mil","1310mil","B","180.00","10nF"
"C45_DR2","1608[0603]","2340mil","1275mil","2340mil","1275mil","2367.559mil","1275mil","B","180.00","10nF"
"C46_DR1","1608[0603]_-_Polar","3820mil","1476.535mil","3820mil","1510mil","3820mil","1510mil","B","270.00","2.2uF"
"C46_DR2","1608[0603]_-_Polar","1785mil","1506.535mil","1785mil","1540mil","1785mil","1540mil","B","270.00","2.2uF"
"C47_DR1","6032_[2312]","4064.449mil","1945mil","4155mil","1945mil","4155mil","1945mil","T","180.00","10uF"
"C47_DR2","6032_[2312]","1522.756mil","1474.638mil","1613.307mil","1474.638mil","1613.307mil","1474.638mil","B","180.00","10uF"
"C48_DR1","1608[0603]","3865mil","1320mil","3865mil","1320mil","3865mil","1347.559mil","B","270.00","100nF"
"C48_DR2","1608[0603]","1805mil","1350mil","1805mil","1350mil","1805mil","1377.559mil","B","270.00","100nF"
"C49_DR1","6032_[2312]","4064.449mil","2071.667mil","4155mil","2071.667mil","4155mil","2071.667mil","T","180.00","10uF"
"C49_DR2","6032_[2312]","1522.756mil","1347.971mil","1613.307mil","1347.971mil","1613.307mil","1347.971mil","B","180.00","10uF"
"C50_DR1","6032_[2312]","4064.449mil","2198.333mil","4155mil","2198.333mil","4155mil","2198.333mil","T","180.00","10uF"
"C50_DR2","6032_[2312]","2430mil","1765.551mil","2430mil","1675mil","2430mil","1675mil","T","90.00","10uF"
"C51_DR1","1608[0603]","4220mil","1975mil","4220mil","1975mil","4247.559mil","1975mil","B","180.00","220nF"
"C51_DR2","1608[0603]","2167.559mil","1915mil","2167.559mil","1915mil","2195.118mil","1915mil","B","180.00","220nF"
"C52_DR1","1608[0603]","4130mil","1930mil","4130mil","1930mil","4157.559mil","1930mil","B","180.00","220nF"
"C52_DR2","1608[0603]","2075mil","1920mil","2075mil","1920mil","2102.559mil","1920mil","B","180.00","220nF"
"C53_DR1","1608[0603]","4030mil","1930mil","4030mil","1930mil","4057.559mil","1930mil","B","180.00","220nF"
"C53_DR2","1608[0603]","1972.559mil","1950mil","1972.559mil","1950mil","2000.118mil","1950mil","B","180.00","220nF"
"C54_DR1","6032_[2312]","3010.551mil","2670mil","2920mil","2670mil","2920mil","2670mil","B","360.00","10uF"
"C54_DR2","6032_[2312]","2935mil","1655.551mil","2935mil","1565mil","2935mil","1565mil","B","90.00","10uF"
"C55_DR1","6032_[2312]","4064.449mil","2325mil","4155mil","2325mil","4155mil","2325mil","T","180.00","220uF/16V"
"C55_DR2","6032_[2312]","2300mil","1944.449mil","2300mil","2035mil","2300mil","2035mil","T","270.00","220uF/16V"
"C56_DR1","1608[0603]","3800mil","1950mil","3800mil","1950mil","3800mil","1922.441mil","B","90.00","100nF"
"C56_DR2","1608[0603]","1760mil","1925mil","1760mil","1925mil","1760mil","1897.441mil","B","90.00","100nF"
"C57","UWT_Series_Cap","845mil","2065.476mil","845mil","1975mil","845mil","2156.102mil","B","360.00","100uF"
"C58","6032_[2312]","1415mil","2394.449mil","1415mil","2485mil","1415mil","2485mil","T","270.00","4.7uF"
"C59","1608[0603]","2000mil","2465mil","2000mil","2465mil","2027.559mil","2465mil","T","180.00","27pF"
"C60","6032_[2312]","1650.551mil","2490mil","1560mil","2490mil","1560mil","2490mil","T","360.00","4.7uF"
"C61","1608[0603]","1800mil","2105mil","1800mil","2105mil","1800mil","2077.441mil","T","90.00","3.3uF"
"C62","1608[0603]","1877.441mil","2487.638mil","1877.441mil","2487.638mil","1877.441mil","2460.079mil","T","90.00","27pF"
"C63","1608[0603]","1565mil","2370mil","1565mil","2370mil","1592.559mil","2370mil","T","180.00","100nF"
"C64","1608[0603]","1682.559mil","2202.362mil","1682.559mil","2202.362mil","1682.559mil","2229.921mil","T","270.00","100nF"
"C65","1608[0603]","1740mil","1625mil","1740mil","1625mil","1740mil","1652.559mil","T","270.00","100nF"
"C66","1608[0603]","1475mil","2135mil","1475mil","2135mil","1475mil","2107.441mil","T","90.00","100nF"
"C67","1608[0603]","1650mil","1575mil","1650mil","1575mil","1650mil","1602.559mil","T","270.00","100nF"
"C68","1608[0603]","4540mil","1900mil","4540mil","1900mil","4540mil","1872.441mil","T","90.00","100nF"
"C69","1608[0603]","3470mil","1660mil","3470mil","1660mil","3442.441mil","1660mil","T","360.00","100nF"
"C70","1608[0603]","3455mil","2370mil","3455mil","2370mil","3455mil","2342.441mil","T","90.00","100nF"
"C71","1608[0603]","2940mil","1650mil","2940mil","1650mil","2940mil","1677.559mil","T","270.00","100nF"
"C72","1608[0603]","3580mil","2805mil","3580mil","2805mil","3580mil","2777.441mil","T","90.00","100nF"
"C73","1608[0603]","3460mil","2865mil","3460mil","2865mil","3460mil","2892.559mil","T","270.00","100nF"
"C74","1608[0603]","3360mil","2562.441mil","3360mil","2562.441mil","3332.441mil","2562.441mil","T","360.00","2.2nF"
"C75","1608[0603]","3605mil","1857.441mil","3605mil","1857.441mil","3632.559mil","1857.441mil","T","180.00","4.7nF"
"C76","1608[0603]","3605mil","1802.441mil","3605mil","1802.441mil","3632.559mil","1802.441mil","T","180.00","4.7nF"
"C77","1608[0603]","4480mil","2990mil","4480mil","2990mil","4507.559mil","2990mil","T","180.00","4.7nF"
"C78","1608[0603]","3605mil","1912.441mil","3605mil","1912.441mil","3632.559mil","1912.441mil","T","180.00","4.7nF"
"D2","DIODE-3","1050mil","1747.5mil","1050mil","1650mil","1050mil","1650mil","B","90.00","1N5819"
"D3_DR1","FSV330AF/FSV340AF","3330mil","2599.685mil","3330mil","2680mil","3330mil","2680mil","B","270.00","1N5821"
"D3_DR2","FSV330AF/FSV340AF","1230.315mil","2820mil","1150mil","2820mil","1150mil","2820mil","B","360.00","1N5821"
"Enc1","Header_4__-MolexPicoBlade","2175mil","2308.713mil","2175mil","2382.425mil","2175mil","2382.425mil","T","270.00","Wheel Encoder"
"Enc2","Header_4__-MolexPicoBlade","3278.713mil","3480mil","3205mil","3480mil","3205mil","3480mil","T","360.00","Wheel Encoder"
"Enc3","Header_4__-MolexPicoBlade","4822.561mil","3311.287mil","4822.561mil","3385mil","4822.561mil","3385mil","T","270.00","Wheel Encoder"
"Enc4","Header_4__-MolexPicoBlade","4558.713mil","3475mil","4485mil","3475mil","4485mil","3475mil","T","360.00","Wheel Encoder"
"GPS1","Header_6__ZH-SM4","1587.362mil","1425mil","1735mil","1425mil","1735mil","1425mil","T","180.00","GPS_Con"
"H4","HDR-2*5-0.05_Without_Through_Hole","2624mil","2664mil","2630mil","2670mil","2724mil","2743mil","T","360.00","JTAG"
"Hall_Sens1","Header_6__ZH-SM4","4362.638mil","3170mil","4215mil","3170mil","4215mil","3170mil","T","360.00","Hall_Sensor"
"Hall_Sens2","Header_6__ZH-SM4","4470mil","2544.803mil","4470mil","2692.441mil","4470mil","2692.441mil","T","270.00","Hall Sensor"
"IMU1","Header_6__-MolexPicoBlade","865mil","2675.5mil","759mil","2514.575mil","865mil","2552.575mil","T","90.00","IMU_Con"
"L1","0805","2555mil","1790.039mil","2555mil","1827.441mil","2555mil","1827.441mil","T","270.00","10uH"
"L2","0805","2735mil","1800.039mil","2735mil","1837.441mil","2735mil","1837.441mil","T","270.00","10uH"
"L4","SDR0805","1165mil","2070mil","1165mil","2070mil","1060.669mil","2070mil","B","90.00","22uH"
"L5","0805","1572.401mil","2300mil","1535mil","2300mil","1535mil","2300mil","T","360.00","?H"
"L6","0805","1690mil","2322.598mil","1690mil","2360mil","1690mil","2360mil","T","270.00","?H"
"LED1","LED_2012[0805]","2477.598mil","2485mil","2515mil","2485mil","2515mil","2485mil","T","180.00","LEDR"
"LED2","LED_2012[0805]","2432.598mil","2385mil","2470mil","2385mil","2470mil","2385mil","T","180.00","LEDY"
"LED3_DR1","LED_2012[0805]","3781.496mil","1299.118mil","3744.094mil","1299.118mil","3744.094mil","1299.118mil","T","360.00","LEDG"
"LED3_DR2","LED_2012[0805]","2447.401mil","1523.441mil","2484.803mil","1523.441mil","2484.803mil","1523.441mil","T","180.00","LEDG"
"LED4_DR1","LED_2012[0805]","3781.496mil","1399.118mil","3744.094mil","1399.118mil","3744.094mil","1399.118mil","T","360.00","LEDY"
"LED4_DR2","LED_2012[0805]","2447.401mil","1423.441mil","2484.803mil","1423.441mil","2484.803mil","1423.441mil","T","180.00","LEDY"
"LED5_DR1","LED_2012[0805]","3781.496mil","1499.118mil","3744.094mil","1499.118mil","3744.094mil","1499.118mil","T","360.00","LEDR"
"LED5_DR2","LED_2012[0805]","2447.401mil","1323.441mil","2484.803mil","1323.441mil","2484.803mil","1323.441mil","T","180.00","LEDR"
"LED6","LED_2012[0805]","1247.598mil","1375mil","1285mil","1375mil","1285mil","1375mil","T","180.00","LEDR"
"Oc1","Header_3__-MolexPicoBlade","3709.213mil","3480mil","3660mil","3480mil","3660mil","3480mil","T","360.00","Open Collector"
"Pot1","Header_3__-MolexPicoBlade","2895.787mil","1450mil","2945mil","1450mil","2945mil","1450mil","T","180.00","Potentiometer"
"Pot2","Header_3__-MolexPicoBlade","3300.787mil","1450mil","3350mil","1450mil","3350mil","1450mil","T","180.00","Potentiometer"
"Pot3","Header_3__-MolexPicoBlade","4820mil","1665.787mil","4820mil","1715mil","4820mil","1715mil","T","270.00","Potentiometer"
"Pot4","Header_3__-MolexPicoBlade","4820mil","2070.787mil","4820mil","2120mil","4820mil","2120mil","T","270.00","Potentiometer"
"Pot5","Header_3__-MolexPicoBlade","4820mil","2475.787mil","4820mil","2525mil","4820mil","2525mil","T","270.00","Potentiometer"
"Pot6","Header_3__-MolexPicoBlade","4820mil","2880.787mil","4820mil","2930mil","4820mil","2930mil","T","270.00","Potentiometer"
"Q1_IRFS1","D2PAK-7Pin","3625mil","3238.543mil","3775mil","3057.441mil","3775mil","3057.441mil","B","180.00","IRFS7530"
"Q1_IRFS2","D2PAK-7Pin","1585mil","3208.543mil","1735mil","3027.441mil","1735mil","3027.441mil","B","180.00","IRFS7530"
"Q2_IRFS1","D2PAK-7Pin","3625mil","2466.102mil","3775mil","2285mil","3775mil","2285mil","B","180.00","IRFS7530"
"Q2_IRFS2","D2PAK-7Pin","1585mil","2436.102mil","1735mil","2255mil","1735mil","2255mil","B","180.00","IRFS7530"
"Q3_IRFS1","D2PAK-7Pin","4135mil","3238.543mil","4285mil","3057.441mil","4285mil","3057.441mil","B","180.00","IRFS7530"
"Q3_IRFS2","D2PAK-7Pin","2095mil","3208.543mil","2245mil","3027.441mil","2245mil","3027.441mil","B","180.00","IRFS7530"
"Q4_IRFS1","D2PAK-7Pin","4135mil","2466.102mil","4285mil","2285mil","4285mil","2285mil","B","180.00","IRFS7530"
"Q4_IRFS2","D2PAK-7Pin","2095mil","2436.102mil","2245mil","2255mil","2245mil","2255mil","B","180.00","IRFS7530"
